Drill Listing
=============
Drill: 0.3  Tool: 1  Feed: 95  Speed: 300
X 81496  Y 73228
X 85039  Y 100787
X 88188  Y 100787
X 85039  Y 103937
X 88188  Y 103937
X 129921  Y 90551
X 137795  Y 90551
X 133858  Y 86614
X 141732  Y 86614
X 96456  Y 84251
X 129921  Y 82677
X 137795  Y 82677
X 161417  Y 82677
X 145669  Y 82677
X 153543  Y 82677
X 149606  Y 86614
X 165354  Y 86614
X 145669  Y 90551
X 153543  Y 90551
X 161417  Y 90551
X 165354  Y 94488
X 157480  Y 102362

Drill: 1  Tool: 2  Feed: 197  Speed: 550
X 62992  Y 86614
X 62992  Y 118110
X 45275  Y 141732
X 45275  Y 151574
X 45275  Y 161417
X 87598  Y 161417
X 107086  Y 123228
X 108267  Y 80708
X 76771  Y 66929
X 141732  Y 82677
X 141732  Y 118110

Drill: 1.3  Tool: 3  Feed: 107  Speed: 550
X 19685  Y 92362
X 19685  Y 112362
X 177165  Y 108425
X 177165  Y 88425

Drill: 3.3  Tool: 4  Feed: 35  Speed: 794
X 19685  Y 19685
X 19685  Y 177165
X 177165  Y 177165
X 177165  Y 19685

End of Listing
